<phenotype>,trait1,SE,df,lower.CL u,pper.CL
23367,0.03482,0.00702,40,0.02063,0.049
23369,0.033,0.00602,22.7,0.02054,0.0455
23370,0.04841,0.00602,22.7,0.03596,0.0609
23373,0.02981,0.00602,22.7,0.01736,0.0423
23374,0.01699,0.00602,22.7,0.00453,0.0294
23376,0.01854,0.00602,22.7,0.00608,0.031
23377,0.03861,0.00602,22.7,0.02615,0.0511
23385,0.03843,0.00702,40,0.02424,0.0526
23393,0.02923,0.00602,22.7,0.01677,0.0417
23400,0.0588,0.00602,22.7,0.04634,0.0713
23403,0.01676,0.00602,22.7,0.0043,0.0292
23404,0.03496,0.00602,22.7,0.0225,0.0474
23405,0.0319,0.00702,40,0.01772,0.0461
23407,0.04404,0.00602,22.7,0.03158,0.0565
23408,0.03236,0.00602,22.7,0.0199,0.0448
23409,0.04503,0.00602,22.7,0.03258,0.0575
23410,0.03503,0.00602,22.7,0.02257,0.0475
23411,0.05496,0.00602,22.7,0.04251,0.0674
23413,0.0427,0.00602,22.7,0.03025,0.0552
23414,0.03313,0.00602,22.7,0.02068,0.0456
23415,0.05243,0.00602,22.7,0.03998,0.0649
23416,0.0249,0.00602,22.7,0.01244,0.0374
23418,0.0401,0.00602,22.7,0.02765,0.0526
23419,0.02691,0.00602,22.7,0.01445,0.0394
23420,0.03933,0.00602,22.7,0.02687,0.0518
23421,0.0535,0.00602,22.7,0.04104,0.066
23448,0.06014,0.00602,22.7,0.04769,0.0726
23450,0.02322,0.00702,40,0.00903,0.0374
23451,0.02625,0.00602,22.7,0.01379,0.0387
23452,0.01715,0.00702,40,0.00297,0.0313
23454,0.03901,0.00602,22.7,0.02656,0.0515
23456,0.02554,0.00602,22.7,0.01309,0.038
23458,0.03764,0.00602,22.7,0.02518,0.0501
23459,0.03165,0.00602,22.7,0.0192,0.0441
23466,0.04694,0.00702,40,0.03275,0.0611
23471,0.01859,0.00602,22.7,0.00613,0.031
23474,0.04525,0.00602,22.7,0.03279,0.0577
23478,0.03074,0.00602,22.7,0.01828,0.0432
23480,0.02072,0.00602,22.7,0.00826,0.0332
23481,0.01365,0.00602,22.7,0.00119,0.0261
23483,0.0739,0.00602,22.7,0.06144,0.0864
23491,0.03069,0.00702,40,0.0165,0.0449
23496,0.0396,0.00702,40,0.02542,0.0538
23504,0.01628,0.00602,22.7,0.00382,0.0287
23505,0.01479,0.00602,22.7,0.00233,0.0272
23508,0.03491,0.00602,22.7,0.02245,0.0474
23509,0.06791,0.00602,22.7,0.05546,0.0804
23511,0.0221,0.00602,22.7,0.00964,0.0346
23512,0.03453,0.00602,22.7,0.02207,0.047
23513,0.02694,0.00602,22.7,0.01448,0.0394
23515,0.03404,0.00702,40,0.01985,0.0482
23516,0.0285,0.00602,22.7,0.01604,0.041
23520,0.04042,0.00602,22.7,0.02796,0.0529
23521,0.04013,0.00602,22.7,0.02767,0.0526
23523,0.03485,0.00602,22.7,0.02239,0.0473
23525,0.02822,0.00602,22.7,0.01577,0.0407
23526,0.03097,0.00602,22.7,0.01851,0.0434
23527,0.04097,0.00602,22.7,0.02851,0.0534
23533,0.03141,0.00602,22.7,0.01895,0.0439
23540,0.03266,0.00702,40,0.01847,0.0468
24147,0.04662,0.00602,22.7,0.03416,0.0591
24148,0.02742,0.00602,22.7,0.01496,0.0399
24160,0.04262,0.00702,40,0.02844,0.0568
24164,0.02576,0.00602,22.7,0.0133,0.0382
24166,0.06924,0.00602,22.7,0.05679,0.0817
24179,0.03217,0.00602,22.7,0.01971,0.0446
24184,0.0239,0.00602,22.7,0.01145,0.0364
24185,0.01881,0.00702,40,0.00463,0.033
24186,0.02323,0.00702,40,0.00904,0.0374
24197,0.03738,0.00602,22.7,0.02492,0.0498
24221,0.04862,0.00602,22.7,0.03617,0.0611
24233,0.02617,0.00602,22.7,0.01371,0.0386
24253,0.03137,0.00602,22.7,0.01891,0.0438
24261,0.03784,0.00602,22.7,0.02538,0.0503
24262,0.03674,0.00602,22.7,0.02428,0.0492
24274,0.06199,0.00602,22.7,0.04954,0.0744
24275,0.02795,0.00602,22.7,0.01549,0.0404
24297,0.04456,0.00702,40,0.03037,0.0587
24300,0.02969,0.00602,22.7,0.01723,0.0421
24301,0.01498,0.00602,22.7,0.00253,0.0274
24302,0.0343,0.00602,22.7,0.02185,0.0468
24303,0.05691,0.00602,22.7,0.04445,0.0694
24306,0.0188,0.00602,22.7,0.00634,0.0313
24307,0.0419,0.00602,22.7,0.02944,0.0544
24308,0.04693,0.00702,40,0.03274,0.0611
24309,0.02292,0.00602,22.7,0.01046,0.0354
24310,0.03229,0.00602,22.7,0.01983,0.0447
24312,0.03817,0.00702,40,0.02399,0.0524
24313,0.01966,0.00602,22.7,0.00721,0.0321
24314,0.04221,0.00602,22.7,0.02975,0.0547
24315,0.00862,0.00602,22.7,-0.00384,0.0211
24316,0.05247,0.00602,22.7,0.04001,0.0649
24378,0.0604,0.00602,22.7,0.04794,0.0729
