<Phenotype>,trait1,SE,df,lower.CL u,pper.CL
24300,0.01646,0.00335,6.27,0.00834,0.0246
24301,0.00772,0.00335,6.27,-0.000402,0.0158
24302,0.02116,0.00335,6.27,0.013,0.0293
24303,0.03199,0.00335,6.27,0.0239,0.0401
24306,0.00797,0.00335,6.27,-0.000146,0.0161
24307,0.01598,0.00335,6.27,0.00786,0.0241
24308,0.02229,0.00371,9.31,0.014,0.0306
24309,0.01374,0.00335,6.27,0.00562,0.0219
24310,0.01602,0.00335,6.27,0.00791,0.0241
24312,0.02123,0.00335,6.27,0.0131,0.0293
24313,0.00992,0.00335,6.27,0.0018,0.018
24314,0.02481,0.00335,6.27,0.0167,0.0329
24315,0.00458,0.00335,6.27,-0.00354,0.0127
24316,0.0259,0.00371,9.31,0.0176,0.0342
24378,0.03193,0.00371,9.31,0.0236,0.0403
